Reference Short	Reference Short 2	Child	Study Design	"McGlynn, 2022"	"Lee, 2022~"	"Rousham, 2022*"	"WHO, 2022"	"Rogers, 2021"	"Laviada-Molina, 2020"	"Lohner, 2020"	"Qin, 2020~"	"Anker, 2019~"	"Toews, 2019~"	"Karalexi, 2018*"	"Santos, 2018~"	"Azad, 2017"	"Ruanpeng, 2017~"	"Reid, 2016*"	"Rogers, 2016"	"Miller, 2014"	"Pereira, 2014"	"Wiebe, 2011~"	"Brown, 2010*"
"Sagrario Lopez-Meza, 2021"	"Sagrario Lopez-Meza, 2021"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sánchez-Delgado, 2021"	"Sánchez-Delgado, 2021"	0	RCT	0	0	0	"MA-BW, BMI"	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viveros-Watty, 2021"	"Viveros-Watty, 2021"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bueno-Hernández, 2020"	"Bueno-Hernández, 2020"	0	RCT	0	0	0	MA-BMI	MA-BMI LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ebbeling, 2020"	"Ebbeling, 2020"	0	RCT	"MA-BW, BF%"	0	0	"MA-BW, BMI"	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hieronimus, 2020"	"Hieronimus, 2020"	0	RCT	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kim, 2020"	"Kim, 2020"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stamataki, 2020"	"Stamataki, 2020"	0	RCT	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Higgins, 2019"	"Higgins, 2019"	0	RCT	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thomson, 2019"	"Thomson, 2019"	0	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bonnet, 2018"	"Bonnet, 2018"	0	RCT	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Engel, 2018"	"Engel, 2018"	0	RCT	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fantino, 2018"	"Fantino, 2018"	0	RCT	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Han, 2018"	"Han, 2018"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Higgins, 2018"	"Higgins, 2018"	0	RCT	"MA-BW, BF%"	0	0	MA-BW	MA-BW LCS vs water/nothing; MA-BW/BMI LCS capsules v placebo	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lertrit, 2018"	"Lertrit, 2018"	0	RCT	0	0	0	MA-BW	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Madjd, 2018"	"Madjd, 2018"	0	RCT	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rizwan, 2018"	"Rizwan, 2018"	0	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Romo-Romo, 2018"	"Romo-Romo, 2018"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al-Dujali, 2017"	"Al-Dujali, 2017"	0	RCT	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kassi, 2016"	"Kassi, 2016"	0	RCT	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Madjd, 2016"	"Madjd, 2016"	0	RCT	"MA-BW, BMI, WC"	0	0	0	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Markey, 2016"	"Markey, 2016"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"McLay-Cooke, 2016"	"McLay-Cooke, 2016"	0	RCT	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vasquez-Duran, 2016"	"Vasquez-Duran, 2016"	0	RCT	0	0	0	MA-BMI	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Angelopoulos, 2015/2016"	"Angelopoulos, 2015/2016"	0	RCT	0	0	0	Text only	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campos, 2015"	"Campos, 2015"	0	RCT	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ensor, 2015"	"Ensor, 2015"	0	RCT	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kuzma, 2015"	"Kuzma, 2015"	0	RCT	0	0	0	MA-BW	Text only	0	0	0	0	MA-BW	0	Text only	0	0	0	0	0	0	0	0
"Madjd, 2015a"	"Madjd, 2015a"	0	RCT	"MA-BW, BMI, WC"	0	0	0	0	0	0	0	0	0	0	0	MA-BMI MD; MA-BW SMD	0	0	0	0	0	0	0
"Stanhope, 2015"	"Stanhope, 2015"	0	RCT	0	0	0	0	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hernandez-Cordero, 2014"	"Hernandez-Cordero, 2014"	0	RCT	"MA-BW, BMI, BF%, WC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Koyuncu, 2014"	"Koyuncu, 2014"	0	RCT	0	0	0	0	MA-BW LCS v nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peters, 2014/2016"	"Peters, 2014/2016"	0	RCT	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	0	0	0	0
"Reid, 2014"	"Reid, 2014"	0	RCT	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
"Taljaard, 2013"	"Taljaard, 2013*"	1	RCT	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	0	0	0	0	MA-BMI z-score	0	0	0	0	Text only	0	0	0	0	0
"deRuyter, 2012"	"deRuyter, 2012*"	1	RCT	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI z-score	0	0	0	0	Text only	MA-BW LCSB v SSB	MA-BW	Text only	0	0
"Ebbeling, 2012"	"Ebbeling, 2012"	0	RCT	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BW; MA-BMI; MA-Fat mass	0	0	0
"Maersk, 2012"	"Maersk, 2012"	0	RCT	0	0	0	0	0	MA-BW	0	0	0	MA-BW	0	MA-BW ASP v control; MA-BW ASP v sucrose	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
"Tate, 2012"	"Tate, 2012"	0	RCT	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
"Ballantyne, 2011"	"Ballantyne, 2011"	0	RCT	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Kim, 2011"	"Kim, 2011"	0	RCT	0	0	0	MA-BW	Text only	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Njike, 2011"	"Njike, 2011"	0	RCT	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW; MA-BMI; MA-WC	0	0	0
"Reid, 2010"	"Reid, 2010"	0	RCT	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW	0	0	0
"Barriocanal, 2008"	"Barriocanal, 2008"	0	RCT	0	0	0	0	MA-BMI LCS capsules v placebo	0	MA-BMI LCS v placebo	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"Maki, 2008b"	"Maki, 2008b"	0	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	MA-BW LCS v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0
"Maki, 2008a"	"Maki, 2008a"	0	RCT	0	0	0	0	Text only	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
"Reid, 2007"	"Reid, 2007"	0	RCT	"MA-BW, BMI"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI	0	Text only	0	0	0	MA-BW LCSB v SSB	MA-BMI	0	Text only	0
"Williams, 2007"	"Williams, 2007*"	1	RCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only
"da Silva, 2006"	"da Silva, 2006"	0	RCT	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"Ebbeling, 2006"	"Ebbeling, 2006*"	1	RCT	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	Text only
