Reference Short	Study Design	Child	Reference Short 2	"McGlynn, 2022"	"Lee, 2022~"	"Rousham, 2022*"	"Rios-Leyvraz, 2022"	"Rogers, 2021"	"Laviada-Molina, 2020"	"Lohner, 2020"	"Qin, 2020~"	"Anker, 2019~"	"Toews, 2019~"	"Karalexi, 2018*"	"Santos, 2018~"	"Azad, 2017"	"Ruanpeng, 2017~"	"Reid, 2016*"	"Rogers, 2016"	"Miller, 2014"	"Pereira, 2014"	"Wiebe, 2011~"	"Brown, 2010*"
"Sagrario Lopez-Meza, 2021"	RCT	0	"Sagrario Lopez-Meza, 2021"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sánchez-Delgado, 2021"	RCT	0	"Sánchez-Delgado, 2021"	0	0	0	"MA-BW, BMI"	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viveros-Watty, 2021"	RCT	0	"Viveros-Watty, 2021"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bueno-Hernández, 2020"	RCT	0	"Bueno-Hernández, 2020"	0	0	0	MA-BMI	MA-BMI LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ebbeling, 2020"	RCT	0	"Ebbeling, 2020"	"MA-BW, BF%"	0	0	"MA-BW, BMI"	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hieronimus, 2020"	RCT	0	"Hieronimus, 2020"	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kim, 2020"	RCT	0	"Kim, 2020"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stamataki, 2020"	RCT	0	"Stamataki, 2020"	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Higgins, 2019"	RCT	0	"Higgins, 2019"	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thomson, 2019"	RCT	0	"Thomson, 2019"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bonnet, 2018"	RCT	0	"Bonnet, 2018"	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Engel, 2018"	RCT	0	"Engel, 2018"	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fantino, 2018"	RCT	0	"Fantino, 2018"	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Han, 2018"	RCT	0	"Han, 2018"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Higgins, 2018"	RCT	0	"Higgins, 2018"	"MA-BW, BF%"	0	0	MA-BW	MA-BW LCS vs water/nothing; MA-BW/BMI LCS capsules v placebo	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lertrit, 2018"	RCT	0	"Lertrit, 2018"	0	0	0	MA-BW	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Madjd, 2018"	RCT	0	"Madjd, 2018"	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rizwan, 2018"	RCT	0	"Rizwan, 2018"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Romo-Romo, 2018"	RCT	0	"Romo-Romo, 2018"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al-Dujali, 2017"	RCT	0	"Al-Dujali, 2017"	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kassi, 2016"	RCT	0	"Kassi, 2016"	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Madjd, 2016"	RCT	0	"Madjd, 2016"	"MA-BW, BMI, WC"	0	0	0	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Markey, 2016"	RCT	0	"Markey, 2016"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"McLay-Cooke, 2016"	RCT	0	"McLay-Cooke, 2016"	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vasquez-Duran, 2016"	RCT	0	"Vasquez-Duran, 2016"	0	0	0	MA-BMI	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Angelopoulos, 2015/2016"	RCT	0	"Angelopoulos, 2015/2016"	0	0	0	Text only	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campos, 2015"	RCT	0	"Campos, 2015"	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ensor, 2015"	RCT	0	"Ensor, 2015"	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kuzma, 2015"	RCT	0	"Kuzma, 2015"	0	0	0	MA-BW	Text only	0	0	0	0	MA-BW	0	Text only	0	0	0	0	0	0	0	0
"Madjd, 2015a"	RCT	0	"Madjd, 2015a"	"MA-BW, BMI, WC"	0	0	0	0	0	0	0	0	0	0	0	MA-BMI MD; MA-BW SMD	0	0	0	0	0	0	0
"Stanhope, 2015"	RCT	0	"Stanhope, 2015"	0	0	0	0	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hernandez-Cordero, 2014"	RCT	0	"Hernandez-Cordero, 2014"	"MA-BW, BMI, BF%, WC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Koyuncu, 2014"	RCT	0	"Koyuncu, 2014"	0	0	0	0	MA-BW LCS v nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peters, 2014/2016"	RCT	0	"Peters, 2014/2016"	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	0	0	0	0
"Reid, 2014"	RCT	0	"Reid, 2014"	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
"Taljaard, 2013"	RCT	1	"Taljaard, 2013*"	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	0	0	0	0	MA-BMI z-score	0	0	0	0	Text only	0	0	0	0	0
"deRuyter, 2012"	RCT	1	"deRuyter, 2012*"	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI z-score	0	0	0	0	Text only	MA-BW LCSB v SSB	MA-BW	Text only	0	0
"Ebbeling, 2012"	RCT	0	"Ebbeling, 2012"	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BW; MA-BMI; MA-Fat mass	0	0	0
"Maersk, 2012"	RCT	0	"Maersk, 2012"	0	0	0	0	0	MA-BW	0	0	0	MA-BW	0	MA-BW ASP v control; MA-BW ASP v sucrose	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
"Tate, 2012"	RCT	0	"Tate, 2012"	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
"Ballantyne, 2011"	RCT	0	"Ballantyne, 2011"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Kim, 2011"	RCT	0	"Kim, 2011"	0	0	0	MA-BW	Text only	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Njike, 2011"	RCT	0	"Njike, 2011"	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW; MA-BMI; MA-WC	0	0	0
"Reid, 2010"	RCT	0	"Reid, 2010"	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW	0	0	0
"Barriocanal, 2008"	RCT	0	"Barriocanal, 2008"	0	0	0	0	MA-BMI LCS capsules v placebo	0	MA-BMI LCS v placebo	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"Maki, 2008b"	RCT	0	"Maki, 2008b"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	MA-BW LCS v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0
"Maki, 2008a"	RCT	0	"Maki, 2008a"	0	0	0	0	Text only	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
"Reid, 2007"	RCT	0	"Reid, 2007"	"MA-BW, BMI"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI	0	Text only	0	0	0	MA-BW LCSB v SSB	MA-BMI	0	Text only	0
"Williams, 2007"	RCT	1	"Williams, 2007*"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only
"da Silva, 2006"	RCT	0	"da Silva, 2006"	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"Ebbeling, 2006"	RCT	1	"Ebbeling, 2006*"	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	Text only
"Ferri, 2006"	RCT	0	"Ferri, 2006"	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Gostner, 2005"	RCT	0	"Gostner, 2005"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Hsieh, 2003"	RCT	0	"Hsieh, 2003"	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Raben, 2001/2002"	RCT	0	"Raben, 2001/2002"	0	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	"MA-BW, BMI"	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW	Text only	Text only	0
"Baird, 2000"	RCT	0	"Baird, 2000"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Chan, 2000"	RCT	0	"Chan, 2000"	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"McLean, 2000"	RCT	0	"McLean, 2000"	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Reid, 1998"	RCT	0	"Reid, 1998"	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
