Order	Author	Year	Year	Reference Short	Study Design	SubDesign	Num of SRMAs that cite	"McGlynn, 2022"	"Lee, 2022"	"Rousham, 2022"	"WHO, 2022"	"Rogers, 2021"	"Laviada-Molina, 2020"	"Lohner, 2020"	"Qin, 2020"	"Anker, 2019"	"Toews, 2019"	"Karalexi, 2018"	"Santos, 2018"	"Azad, 2017"	"Ruanpeng, 2017"	"Reid, 2016"	"Rogers, 2016"	"Miller, 2014"	"Pereira, 2014"	"Wiebe, 2011"	"Brown, 2010"
116	Sagrario Lopez-Meza	2021	2021	"Sagrario Lopez-Meza, 2021"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	Sánchez-Delgado	2021	2021	"Sánchez-Delgado, 2021"	RCT		2	0	0	0	"MA-BW, BMI"	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	Viveros-Watty	2021	2021	"Viveros-Watty, 2021"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Bueno-Hernández	2020	2020	"Bueno-Hernández, 2020"	RCT		2	0	0	0	MA-BMI	MA-BMI LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	Ebbeling	2020	2020	"Ebbeling, 2020"	RCT		3	"MA-BW, BF%"	0	0	"MA-BW, BMI"	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	Hieronimus	2020	2020	"Hieronimus, 2020"	RCT	CT	1	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	Kim	2020	2020	"Kim, 2020"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Stamataki	2020	2020	"Stamataki, 2020"	RCT		2	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	Higgins	2019	2019	"Higgins, 2019"	RCT		4	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	Thomson	2019	2019	"Thomson, 2019"	RCT		1	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	Bonnet	2018	2018	"Bonnet, 2018"	RCT		3	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	Engel	2018	2018	"Engel, 2018"	RCT		3	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	Fantino	2018	2018	"Fantino, 2018"	RCT		1	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	Han	2018	2018	"Han, 2018"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	Higgins	2018	2018	"Higgins, 2018"	RCT		4	"MA-BW, BF%"	0	0	MA-BW	MA-BW LCS vs water/nothing; MA-BW/BMI LCS capsules v placebo	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Lertrit	2018	2018	"Lertrit, 2018"	RCT		2	0	0	0	MA-BW	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	Madjd	2018	2018	"Madjd, 2018"	RCT		3	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	Rizwan	2018	2018	"Rizwan, 2018"	RCT		1	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	Romo-Romo	2018	2018	"Romo-Romo, 2018"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	Al-Dujali	2017	2017	"Al-Dujali, 2017"	RCT		2	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	Kassi	2016	2016	"Kassi, 2016"	RCT		1	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	Madjd	2016	2016	"Madjd, 2016"	RCT		2	"MA-BW, BMI, WC"	0	0	0	MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	Markey	2016	2016	"Markey, 2016"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	McLay-Cooke	2016	2016	"McLay-Cooke, 2016"	RCT		1	0	0	0	"MA-BW, BMI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	Vasquez-Duran	2016	2016	"Vasquez-Duran, 2016"	RCT		2	0	0	0	MA-BMI	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	Angelopoulos	2015/2016	2015	"Angelopoulos, 2015/2016"	RCT		2	0	0	0	Text only	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	Campos	2015	2015	"Campos, 2015"	RCT		4	"MA-BW, BMI, BF%"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	Ensor	2015	2015	"Ensor, 2015"	RCT		1	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	Kuzma	2015	2015	"Kuzma, 2015"	RCT		4	0	0	0	MA-BW	Text only	0	0	0	0	MA-BW	0	Text only	0	0	0	0	0	0	0	0
98	Madjd	2015a	2015	"Madjd, 2015a"	RCT		2	"MA-BW, BMI, WC"	0	0	0	0	0	0	0	0	0	0	0	MA-BMI MD; MA-BW SMD	0	0	0	0	0	0	0
119	Stanhope	2015	2015	"Stanhope, 2015"	RCT		1	0	0	0	0	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	Hernandez-Cordero	2014	2014	"Hernandez-Cordero, 2014"	RCT		1	"MA-BW, BMI, BF%, WC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	Koyuncu	2014	2014	"Koyuncu, 2014"	RCT		2	0	0	0	0	MA-BW LCS v nothing	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	Peters	2014/2016	2014	"Peters, 2014/2016"	RCT		6	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	0	0	0	0
112	Reid	2014	2014	"Reid, 2014"	RCT		5	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
121	Taljaard	"2013 (2012 in WHO, 2022)"	2013	"Taljaard, 2013 (2012 in WHO, 2022)"	RCT		4	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	0	0	0	0	MA-BMI z-score	0	0	0	0	Text only	0	0	0	0	0
73	deRuyter	2012	2012	"deRuyter, 2012"	RCT		8	0	0	0	MA-BMI z-score	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI z-score	0	0	0	0	Text only	MA-BW LCSB v SSB	MA-BW	Text only	0	0
75	Ebbeling	2012	2012	"Ebbeling, 2012"	RCT		2	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BW; MA-BMI; MA-Fat mass	0	0	0
101	Maersk	2012	2012	"Maersk, 2012"	RCT		7	0	0	0	0	0	MA-BW	0	0	0	MA-BW	0	MA-BW ASP v control; MA-BW ASP v sucrose	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
122	Tate	2012	2012	"Tate, 2012"	RCT		8	"MA-BW, WC"	0	0	MA-BW	MA-BW LCS v Sugar; MA-BW LCS v water/nothing	MA-BW	0	0	0	0	0	0	MA-BW SMD	0	0	MA-BW LCS v water	MA-BW	Text only	0	0
61	Ballantyne	2011	2011	"Ballantyne, 2011"	RCT		1	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
92	Kim	2011	2011	"Kim, 2011"	RCT		3	0	0	0	MA-BW	Text only	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
107	Njike	2011	2011	"Njike, 2011"	RCT		4	0	0	0	"MA-BW, BMI"	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW; MA-BMI; MA-WC	0	0	0
110	Reid	2010	2010	"Reid, 2010"	RCT		7	"MA-BW, BMI"	0	0	MA-BW	MA- BW LCS v Sugar	MA-BW	0	0	0	0	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW	0	0	0
62	Barriocanal	2008	2008	"Barriocanal, 2008"	RCT		3	0	0	0	0	MA-BMI LCS capsules v placebo	0	MA-BMI LCS v placebo	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
102	Maki	2008b	2008	"Maki, 2008b"	RCT		2	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	MA-BW LCS v placebo	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Maki	2008a	2008	"Maki, 2008a"	RCT		3	0	0	0	0	Text only	MA-BW	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0
111	Reid	2007	2007	"Reid, 2007"	RCT		9	"MA-BW, BMI"	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	MA-BMI	0	Text only	0	0	0	MA-BW LCSB v SSB	MA-BMI	0	Text only	0
127	Williams	2007	2007	"Williams, 2007"	RCT		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only
72	da Silva	2006	2006	"da Silva, 2006"	RCT		2	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
74	Ebbeling	2006	2006	"Ebbeling, 2006"	RCT		3	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	Text only
