Order	Covidence #	Study ID	year	Duplicate Year	OBS Only	INT Only	Both	Conclusion statement	What was the authors' conclusion regarding the association between LCS and BW?	Decrease BW/more beneficial	Neutral (no directional effect or association)	Evidence is insufficient to draw a conclusion	Increase BW/less beneficial	"Other: Beneficial for LCS versus sugar; no clear evidence of
effects on BW or EI of LCS compared with the consumption
of water/nothing"	BEN - OBS	NEUTRAL - OBS	INSUFFICIENT - OBS	ADV - OBS	OTHER - OBS	NEUTRA/INSUF - OBS	BEN - INT	NEUTRAL - INT	INSUFFICIENT - INT	ADV - INT	OTHER - INT	NEUTRA/INSUF - INT	BEN - BOTH	NEUTRAL - BOTH	INSUFFICIENT - BOTH	ADV - BOTH	OTHER - BOTH	NEUTRA/INSUF - BOTH
1	700	Brown 2010	2010	1	0	0	1	"At the current time, the jury remains out regarding a possible role of increased artificial sweetener use in the obesity and diabetes epidemics, whether adverse, beneficial or neutral. In particular, very little data exist regarding the role of artificial sweeteners in glucose metabolism in children. Our growing understanding of the active metabolic role played by such chemicals in animal models should spur further research into the effects of these common food additives in humans."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	671	Wiebe 2011	2011	1	0	1	0	"Considering the public health importance of obesity and its consequences; the clearly relevant role of diet in the pathogenesis and maintenance of obesity; and the billions of dollars spent on non-caloric sweeteners, little high-quality clinical research has been done. Studies are needed to determine the role of hypocaloric sweeteners in a wider population health strategy to prevent, reduce and manage obesity and its consequences."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
3	561	Miller 2014	2014	0	0	0	1	"In conclusion, the meta-analysis of observational studies showed a small positive association between LCS intake and BMI, but no association with body weight or fat mass. On the other hand, data from RCTs, which provide the highest quality of evidence for examining the potentially causal effects of LCS intake on body weight, indicate that substituting LCSs for calorically dense alternatives results in a modest reduction of body weight, BMI, fat mass, and waist circumference. Compared with the consistent findings among the RCTs, results from prospective cohort studies were limited and more difficult to interpret, particularly because of inadequate control of important confounders, including total energy intake and baseline differences between LCS consumers and nonconsumers in body weight and composition. On the basis of the available scientific literature to date, substituting LCS options for their regular-calorie versions results in a modest weight loss andmay be a useful dietary tool to improve compliance with weight-loss or weight-maintenance plans."	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4	1394	Pereira 2014	2014	1	0	0	1	"Of the totality of scientific evidence to date, there is a pattern across studies of an increased risk of weight gain and obesity with higher intakes of SSBs. However, it remains difficult to establish the strength of the association and the independence from other potentially confounding factors. The primary reason for such tentative conclusions regarding the strength of this association is the limited number and scope of controlled trials on this topic, and the unimpressive findings of those that have been conducted. Last, another recent development has been a focus on the possible role of ASBs in the upregulation of appetite and weight gain over time. This hypothesis has not held up to rigorous epidemiologic methods, and in fact, there is somewhat consistent evidence from prospective studies and from randomized trials that ASBs may be protective, perhaps as protective as water, in preventing obesity when compared with SSBs."	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5	489	Reid 2016	2016	0	0	0	1	"The effect of NNS exposure on metabolic health in children is uncertain, with conflicting evidence suggesting potentially adverse effects on BMI gain and fat accumulation. No studies to date have investigated this association among pregnant women or infants."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
6	488	Rogers 2016	2016	1	0	0	1	"We found a considerable weight of evidence in favour of consumption of LES in place of sugar as helpful in reducing relative EI and BW, with no evidence from the many acute and sustained intervention studies in humans that LES increase EI. Importantly, the effects of LES-sweetened beverages on BW also appear neutral relative to water, or even beneficial in some contexts."	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7	400	Azad 2017	2017	0	0	0	1	"Evidence from RCTs does not clearly support the intended benefits of nonnutritive sweeteners for weight management. In contrast, observational data suggest that routine consumption of nonnutritive sweeteners may be associated with a long-term increase in BMI and elevated risk of cardiometabolic disease; however, these associations have not been confirmed in experimental studies and may be influenced by publication bias. "	Increase BW/less beneficial	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	395	Ruanpeng 2017	2017	1	0	0	1	"In summary, our study demonstrated significant links between both sugar and artificially sweetened soda and obesity. This finding should raise public awareness and governmental responses for policy and regulation on potential negative health impacts particularly weight and metabolic dysregulation on excessive consumption of sugar and artificially sweetened beverages."	Increase BW/less beneficial	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
9	352	Karalexi 2018	2018	0	1	0	0	"The results of the metaanalysis suggest a possible relationship between NNS and BMI increase. Systematic assessment of observational studies showed no association of NNS intake during childhood with fat mass accumulation and waist circumference and a small, but statistically significant association with BMI increase. Inherent methodological weaknesses of to-date published investigations, including mainly underpowered size to explore the hypothesis, call for more research"	Increase BW/less beneficial	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	341	Santos 2018	2018	1	0	1	0	"This systematic review and meta-analysis found considerable evidences that do not support beneficial effects of aspartame on metabolic variables associated to diabetes and obesity. Although there were no found deleterious effects associated with aspartame consumption on variables studied, there is no support for the recommendation of aspartame consumption as a sweetener with the aim of comply dietary requirements on diabetes and obesity control according to studies evaluated."	Neutral (no directional effect or association)	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
