Reference 2	IncludeinPlot	Covidence ID	Reference	Figure/Table Number	Number of Studies	Population - Clean	Number of Participants	Intervention/Exposure	Intervention/Exposure - Clean	LCSB Only	Comparator - Clean 2	Outcome - Description	Outcome - Clean	Study Design	Study Design-Clean	MD	Lower 95% MD	Upper 95% MD	SMD	Lower 95% SMD	Upper 95% SMD	"Heterogeneity (I2, %)"	Stat sig?	Favors LCS or control
Azad 2017 - LCS v All	1	400	Azad 2017	"Table 3, Figure 2A"	3	Adults and adolescents	242	NNS	LCS	0	All comparators	BMI	BMI	RCT	RCT	-0.37	-1.1	0.36	-	-	-	9	No	NS
Azad 2017 - LCS v All	1	400	Azad 2017	"Table 3, Figure 2C"	5	Adults and adolescents	791	NNS	LCS	0	All comparators	BW	BW	RCT	RCT	-	-	-	-0.17	-0.54	0.21	81	No	NS
Azad 2017 - LCS v All	0	400	Azad 2017	"Table 3, Figure S1A"	3	Adults and adolescents	683	NNS	LCS	0	All comparators	WC	WC	RCT	RCT	-	-	-	-0.16	-0.56	0.25	83	No	NS
"Azad 2017 - LCS, cont"	1	400	Azad 2017	"Table 3, Figure 2B"	2	Adults and adolescents	21256	"NNS, continuous correlation"	LCS (continuous)	0	All comparators	BMI	BMI	Cohort	Cohort	-	-	-	0.05	0.03	0.06	0	Yes	Control
"Azad 2017 - LCS, cont"	1	400	Azad 2017	"Table 3, Figure 2D"	4	Adults and adolescents	32405	"NNS, continuous correlation"	LCS (continuous)	0	All comparators	BW	BW	Cohort	Cohort	-	-	-	0.06	0.05	0.07	46	Yes	Control
Laviada-Molina 2020 - LCS v All	1	231	Laviada-Molina 2020	Figure 7	16	Adults	1820	NNS	LCS	0	All comparators	BW or BMI	BW or BMI	RCT	RCT	-	-	-	-0.43	-0.64	-0.22	71	Yes	LCS
Laviada-Molina 2020 - LCS v None	1	231	Laviada-Molina 2020	Figure 3	20	"Adults, adolescents, children"	2914	LCS	LCS	0	All comparators	BW or BMI	BW or BMI	RCT	RCT	-	-	-	-0.4	-0.57	-0.22	69	Yes	LCS
Laviada-Molina 2020 - LCS v Nothing/Placebo	1	231	Laviada-Molina 2020	Figure 4	5	"Adults, adolescents, children"	363	NNS	LCS	0	All comparators	BW or BMI	BW or BMI	RCT	RCT	-	-	-	-0.06	-0.27	0.15	0	No	NS
Laviada-Molina 2020 - LCS v Sugars	1	231	Laviada-Molina 2020	Figure 4	13	"Adults, adolescents, children"	1997	NNS	LCS	0	All comparators	BW or BMI	BW or BMI	RCT	RCT	-	-	-	-0.56	-0.79	-0.34	72	Yes	LCS
Laviada-Molina 2020 - LCS v Water	1	231	Laviada-Molina 2020	Figure 4	4	"Adults, adolescents, children"	554	NNS	LCS	0	All comparators	BW or BMI	BW or BMI	RCT	RCT	-	-	-	-0.2	-0.62	-0.23	81	No	NS
Lee 2022 - LCSB v SSB	1	25	Lee 2022	Figure 3	3	Adults	165579	LNCSB	LCSB	1	All comparators	BW (kg/y)	BW	"Cohort, substitution analysis"	Cohort	-0.12	-0.14	-0.1	-0.03	-0.05	-0.004	0	Yes	LCS
"Lee 2022 - LCSB, cont"	1	25	Lee 2022	Figure 2	5	Adults	130020	increasing intake of LNCSB by one serving (330 mL) per day	Higher LCSB; dose-response (per 330 mL/d increase)	1	All comparators	BW (kg/y)	BW	"Cohort, change analysis"	Cohort	-0.008	-0.014	-0.002	-0.01	-0.02	-0.004	66	Yes	LCS
McGlynn 2022 - LCSB v SSB	1	84	McGlynn 2022	Figure 2	"9,14*"	Adults	"437, 836 (direct and network estiamte, respectively)"	LCSB	LCSB	1	All comparators	BMI	BMI	"RCT, network analysis"	RCT	-0.32	-0.58	-0.07	-0.67	-1.19	-0.14	35	Yes	LCSB
McGlynn 2022 - LCSB v SSB	0	84	McGlynn 2022	Figure 2	"7,14 (direct and network estimate, respectively)"	Adults	"210, 559"	LCSB	LCSB	1	All comparators	Body fat (%)	Body fat (%)	"RCT, network analysis"	RCT	-0.6	-1.03	-0.18	-0.74	-1.27	-0.22	0	Yes	LCSB
McGlynn 2022 - LCSB v SSB	1	84	McGlynn 2022	Figure 2	"9,14*"	Adults	"467,1444 (direct and network estimate, respectively)"	LCSB	LCSB	1	All comparators	BW	BW	"RCT, network analysis"	RCT	-1.06	-1.71	-0.41	-0.65	-1.05	-0.25	0	Yes	LCSB
McGlynn 2022 - LCSB v SSB	0	84	McGlynn 2022	Figure 2	"0,6"	Adults	"0,868"	LCSB	LCSB	1	All comparators	WC	WC	"RCT, network analysis"	RCT	-0.52	-4.98	3.94	-0.09	-0.89	0.71	-	No	NS
McGlynn 2022 - LCSB v Water	1	84	McGlynn 2022	Figure 4	"3,14"	Adults	"174, 826"	LCSB	LCSB	1	All comparators	BMI	BMI	"RCT, network analysis"	RCT	0.02	-0.46	0.51	0.03	-0.5	0.55	-	No	NS
